File Name	GCMF File Name	Address	Attributes	Origin	Radius	Texturecount	Materialcount	Translucidmaterialcount	Transformmatrixcount	Zero_0x1F	Indicesrelptr	Zero_0x24	Transformmatrixdefaultindices	Texture	TransformMatrix	Material	
arobin.gma	arobin.gma	00000060	_16Bit	(0.0, 0.6, 0.0)	2.27246	40	20	8	0	0	1344	0	X	X	X	X	
	arobin.gma	0000D660	_16Bit	(-0.1, 0.5, 0.8)	1.463966	0	0	0	0	0	64	0	X	X	X	X	
	arobin.gma	0000D6A0	_16Bit	(0.0, 0.0, 0.1)	0.1252556	1	1	0	0	0	96	0	X	X	X	X	
arobin_02.gma	arobin_02.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.272532	42	21	8	0	0	1408	0	X	X	X	X	
arobin_02.gma	arobin_02.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.272532	42	21	8	0	0	1408	0	X	X	X	X	
arobin_02emb.gma	arobin_02emb.gma	00000040	_16Bit	(0.0, 0.7, 0.0)	2.27102	1	1	0	0	0	96	0	X	X	X	X	
arobin_03.gma	arobin_03.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.278064	26	10	6	0	0	896	0	X	X	X	X	
arobin_03.gma	arobin_03.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.278064	26	10	6	0	0	896	0	X	X	X	X	
arobin_03emb.gma	arobin_03emb.gma	00000040	_16Bit	(0.0, 0.7, 0.0)	2.276909	1	1	0	0	0	96	0	X	X	X	X	
arobin_04.gma	arobin_04.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.273291	4	3	1	0	0	192	0	X	X	X	X	
arobin_04.gma	arobin_04.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.273291	4	3	1	0	0	192	0	X	X	X	X	
arobin_emb.gma	arobin_emb.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.271019	1	1	0	0	0	96	0	X	X	X	X	
arrow.gma	arrow.gma	000000E0	SkinModel	(0.0, -0.2, 0.0)	0.6029649	16	13	0	17	0	1408	0	X	X	X	X	
	arrow.gma	0001B560	SkinModel	(0.0, 0.0, 0.0)	0.1322826	3	1	0	1	0	224	0	X	X	X	X	
	arrow.gma	0001B880	SkinModel	(0.1, 0.0, 0.0)	0.07226642	1	1	0	16	0	864	0	X	X	X	X	
	arrow.gma	00022E20	SkinModel	(0.1, 0.0, 0.0)	0.07226642	1	1	0	16	0	864	0	X	X	X	X	
	arrow.gma	0002A420	EffectiveModel	(-0.2, 0.2, 0.0)	0.7153834	1	1	0	0	0	96	0	X	X	X	X	
	null
	null
	null
	null
	arrow.gma	0002D1E0	SkinModel	(0.0, 0.0, 0.1)	0.1264574	3	4	0	27	0	1472	0	X	X	X	X	
	arrow.gma	0003B720	SkinModel	(0.0, 0.0, 0.0)	0.4269845	8	1	7	20	0	1280	0	X	X	X	X	
arrow_100.gma	arrow_100.gma	00000020	_16Bit, StitchingModel	(0.0, 0.0, 0.0)	0.5413733	7	7	0	7	0	640	0	X	X	X	X	
arrow_100.gma	arrow_100.gma	00000020	_16Bit, StitchingModel	(0.0, 0.0, 0.0)	0.5413733	7	7	0	7	0	640	0	X	X	X	X	
arrow_100.gma	arrow_100.gma	00000020	_16Bit, StitchingModel	(0.0, 0.0, 0.0)	0.5413733	7	7	0	7	0	640	0	X	X	X	X	
arrow_500.gma	arrow_500.gma	00000020	_16Bit, StitchingModel	(0.0, -0.1, 0.1)	0.6636392	17	17	0	15	0	1344	0	X	X	X	X	
