File Name	Model Name	Address	Unk_Flags_0X00	Unk_0x04	Unk_0x08	Unk_0x0C	Unk_0x10	Unk_Count	Unk_0x12	Vertexrenderflags	Unk_0x14	Tex0Index	Tex1Index	Tex2Index	Vertexdescriptorflags	Transformmatrixspecidicindices	Matdisplaylistsize	Tlmatdisplaylistsize	Uvwcoordinates	Unk_0x3C	Unk_0x40	Unk_0x44	Unk_0x48	Unk_0x4C	Unk_0x50	Unk_0x54	Unk_0x58	FifoPadding 0	FifoPadding 1	FifoPadding 2	FifoPadding 3	
arobin.gma	arobin.gma	000005A0	0	640034559	255	1280068863	42	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	2	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	768	576	(0.0, 0.7, -0.5)	0	0	0	0	0	0	0	0	0	0	0	0	
	arobin.gma	00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	System.Byte[]	0	0	(0.0, 0.0, 0.0)	0	0	0	0	0	0	0	0	
	arobin.gma	0000D700	0	1717987071	255	1717987071	25	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	2048	768	(0.0, 0.0, 0.1)	0	0	0	0	0	0	0	0	0	0	0	0	
arobin_02.gma	arobin_02.gma	000005C0	0	640034559	255	1280068863	42	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	4	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	448	288	(0.0, 0.7, -0.5)	0	0	0	0	0	0	0	0	0	0	0	0	
arobin_02.gma	arobin_02.gma	000005C0	0	640034559	255	1280068863	42	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	4	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	448	288	(0.0, 0.7, -0.5)	0	0	0	0	0	0	0	0	0	0	0	0	
arobin_02emb.gma	arobin_02emb.gma	000000A0	0	2998055679	2139062271	4294967295	42	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	3744	5664	(0.0, 0.7, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
arobin_03.gma	arobin_03.gma	000003C0	0	640034559	255	1280068863	42	255	1	RENDER_MATERIALS	65280	4	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	480	0	(0.0, 0.7, -0.5)	0	0	0	0	0	0	0	0	0	0	0	0	
arobin_03.gma	arobin_03.gma	000003C0	0	640034559	255	1280068863	42	255	1	RENDER_MATERIALS	65280	4	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	480	0	(0.0, 0.7, -0.5)	0	0	0	0	0	0	0	0	0	0	0	0	
arobin_03emb.gma	arobin_03emb.gma	000000A0	0	2998055679	2139062271	4294967295	42	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	1984	1312	(0.0, 0.7, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
arobin_04.gma	arobin_04.gma	00000100	10	1721342463	862349055	1721342463	85	255	1	RENDER_MATERIALS	65280	1	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	288	0	(0.0, 0.7, -0.5)	0	0	0	0	0	0	0	0	0	0	0	0	
